,Danceability,Energy,Key,Loudness,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Duration_ms,Views,Likes,Comments,Stream
2739,0.58,0.47,3,-11.923,0.0337,0.863,0.934,0.11,0.43,111.459,125933,224169,6611,304,19701898
2740,0.49,0.411,2,-10.835,0.0303,0.0559,0.757,0.136,0.101,115.628,138267,843912,21193,94,11074485
2741,0.485,0.468,11,-13.256,0.0261,0.732,0.259,0.285,0.204,73.678,66267,629,33,4,7014786
2742,0.683,0.62,9,-12.445,0.0409,0.9,0.934,0.0992,0.121,74.953,300893,84525,2161,99,9009383
2743,0.902,0.314,4,-16.417,0.0659,0.885,0.963,0.0976,0.213,144.337,163160,47500,1241,61,6201590
2744,0.591,0.344,6,-10.224,0.035,0.02,0.672,0.149,0.171,118.429,292069,17377,678,52,5946027
2745,0.607,0.188,7,-15.084,0.0326,0.895,1.79E-06,0.109,0.486,135.896,227613,218238804,526914,10458,224299945
2746,0.593,0.415,9,-9.774,0.03,0.754,4.86E-06,0.117,0.323,139.948,240613,219615731,843352,16806,203411414
2747,0.63,0.336,4,-7.941,0.0335,0.864,0,0.103,0.456,135.889,193627,2536501,29663,373,154162115
2748,0.571,0.303,4,-10.479,0.0362,0.885,0,0.0932,0.354,144.021,240307,192215788,571722,10494,99996610
2749,0.694,0.47,11,-8.944,0.0337,0.76,0,0.128,0.287,121.975,228560,138716512,461615,8045,77317087
2750,0.679,0.369,0,-7.979,0.03,0.551,0,0.106,0.314,138.011,248200,217660113,820192,17383,207849949
2751,0.592,0.503,7,-7.714,0.0382,0.358,0,0.107,0.4,137.73,233347,8439227,53590,1677,153420273
2752,0.605,0.491,9,-8.182,0.0276,0.335,0,0.125,0.299,129.984,221960,147940630,514795,13694,108905316
2753,0.744,0.846,9,-6.661,0.0469,0.249,0,0.183,0.691,101,266467,5597876,21940,934,121106836
2754,0.419,0.392,0,-8.313,0.0409,0.702,0,0.106,0.324,132.511,225760,74090107,215459,5703,41845750
2755,0.136,0.164,4,-18.756,0.0364,0.911,0.916,0.109,0.071,58.303,166867,570881,14054,376,75073139
2756,0.323,0.0114,4,-38.855,0.0343,0.893,0.652,0.171,0.134,112.378,141373,11831,166,0,24027522
2757,0.418,0.00869,7,-37.257,0.0455,0.996,0.962,0.105,0.42,87.273,93507,5292,19,0,20909481
2758,0.149,0.128,2,-20.459,0.0462,0.944,0.928,0.0703,0.113,47.362,415813,280313,6070,19,37112679
2759,0.252,0.0578,1,-26.184,0.0518,0.953,0.0163,0.0721,0.0391,108.013,141707,61434,1723,11,14506290
2760,0.139,0.148,7,-18.882,0.0386,0.929,0.954,0.106,0.0788,142.536,306533,219570,5551,19,14647125
2761,0.119,0.031,2,-31.179,0.0483,0.964,0.165,0.111,0.0388,88.858,156573,2527,109,0,16083927
